x,y,class
0.20655101278621052,-0.027192956712510583,red
0.6375209787357744,0.04178533256370246,red
-0.12285796950527827,0.24913131709241337,blue
0.29750750260921344,0.22828553587826994,blue
0.1228579695052783,-0.24913131709241335,red
-0.1744032741910818,-0.04673121647684391,blue
-0.20447822033799248,0.1180555555555555,blue
0.1744032741910818,0.04673121647684393,red
0.420857835331158,-0.14286198457918303,blue
0.47380824489615425,0.3635658534357638,red
0.6037036414306676,0.16176190318907557,red
-0.06249999999999998,-0.10825317547305484,blue
-0.319430720713723,0.6477414244402749,blue
0.589378399797743,-0.3402777777777777,red
-0.6471931733967929,0.08520459769920033,blue
-0.29592569465701685,0.38565787375268384,red
0.04169586695918319,0.31671155293885606,blue
0.1071464884343873,0.3156433764983685,blue
-0.09157580765278725,-0.10442219548319139,blue
0.1940281239630618,0.012717275128083398,red
-0.1879599518697442,0.16483645377501738,blue
-0.6375209787357745,-0.0417853325637021,blue
0.3194307207137233,-0.6477414244402748,red
-0.19051957486713325,0.7110287332405643,blue
0.43120601221451055,-0.5619586160396248,red
-0.03451831820479766,0.5266477650425962,red
-0.17361111111111097,-0.3007032652029301,red
0.1736111111111113,0.30070326520293,blue
0.3846183921417069,0.43857322102940344,red
0.16064537709952348,-0.2093571314657426,red
